_id,Group,Name,Description
8172,Industrial-robot operators,ผู้ปฏิบัติงานควบคุมหุ่นยนต์อุตสาหกรรม,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของหุ่นยนต์อุตสาหกรรม โดยการบรรจุหรือยกเลิกโปรแกรม สำหรับหุ่นยนต์และปฏิบัติงานต่าง ๆ ที่เกี่ยวข้อง
8211,Machine-tool operators,ผู้ปฏิบัติการเครื่องมือกล,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของเครื่องจักรอุปกรณ์แปรรูปโลหะต่าง ๆ เช่น เครื่องกลึง เครื่องอัดปั๊มชิ้นส่วนโลหะ เครื่องตัดโลหะ เครื่องไส เครื่องฝน เครื่องเจาะ เครื่องคว้าน เครื่องเลื่อย เครื่องเจียร ฯลฯ โดยควบคุมการใช้แบบระบบตัวเลข หรือทำการต่อเชื่อมโดยการใช้เครื่องโอนย้ายแบบอัตโนมัติ
8212,Cement and other mineral products machine operators,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์ซีเมนต์และแร่อื่น ๆ,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรที่ทำการผลิตผลิตภัณฑ์ซีเมนต์ เพื่อใช้ในการบีบอัดขึ้นรูป การหล่อเทเบ้า ฝน ขัดและตัด ซึ่งทำการผลิตและทำงานสำเร็จรูปของผลิตภัณฑ์คอนกรีตที่หล่อเทล่วงหน้าและผลิตภัณฑ์หินต่าง ๆ เพื่อใช้ในการก่อสร้าง เช่น แผ่นหินปูฟุตบาท เสารั้ว ท่อระบายน้ำ แผ่นบุคลองส่งน้ำ ผนังและแผงกั้นห้อง ส่วนประกอบชิ้นส่วนอาคาร สิ่งปลูกสร้าง ฯลฯ รวมถึงการควบคุมดูแลเครื่องจักรที่ใช้ผสมทราย กรวด ซีเมนต์และน้ำเพื่อทำคอนกรีต
8221,Pharmaceutical-and toiletry-products machine operators,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์ยารักษาโรคและของใช้ภายในห้องน้ำ,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรที่ใช้ในการผลิตยารักษาโรค ของใช้ภายในห้องน้ำ เช่น สบู่ ยาสีฟัน ผงซักฟอกและผลิตภัณฑ์ต่าง ๆ ที่เกี่ยวข้อง รวมทั้งผลิตภัณฑ์ที่ใช้ในการทำความสะอาดและฆ่าเชื้อโรคอุปกรณ์เครื่องมือเครื่องใช้ต่าง ๆ
8222,Ammunition- and explosive-products machine operators,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์กระสุนดินปืนและวัตถุระเบิด,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรที่ทำการผสม และดำเนินกระบวนการแปรรูปสารเคมีและส่วนผสมอื่น ๆ ที่ใช้ผลิตวัตถุระเบิด กระสุนดินปืน กระสุนปืนใหญ่ ลูกระเบิดกับดักระเบิดจรวดและอุปกรณ์ต่าง ๆ ที่เกี่ยวข้อง
8223,"Metal finishing-, plating- and coating-machine operators",ผู้ปฏิบัติการเครื่องจักรตกแต่งโลหะ ชุบและเคลือบผิวโลหะ,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรและอุปกรณ์ที่ใช้ในการทำความสะอาดสิ่งของชิ้นส่วนโลหะ เพื่อเตรียมการชุบผิวด้วยกระบวนการทางไฟฟ้า การชุบผิวเหล็กและเหล็กกล้าการชุบลวดด้วยโลหะที่ไม่ใช่เหล็ก รวมถึงการฉีดพ่นโลหะหลอมเหลวหรือวัสดุอื่น ๆ ลงบนผิวของผลิตภัณฑ์โลหะเพื่อตกแต่งหรือป้องกันสนิม
8224,Photographic-products machine operators,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์ด้านการถ่ายภาพ,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลอุปกรณ์ที่ใช้ในการผลิตแผ่นฟิล์มและกระดาษที่ใช้สำหรับการถ่ายภาพ การล้างฟิล์มสีและขาวดำ การอัดภาพการขยายหรือย่อขนาดของภาพถ่ายต่างๆรวมถึงการควบคุมดูแลเครื่องจักรที่ใช้สำหรับการชุบผิวและทำแผ่นรอง (backing) ของแผ่นภาพถ่าย
8229,Chemical-products machine operators not elsewhere classified,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์เคมี ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรที่ใช้ในการผลิตผลิตภัณฑ์เคมีต่าง ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น
8231,Rubber-products machine operators,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์ยาง,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรที่ใช้นวดผสมยางและสารผสมยางต่าง ๆเพื่อทำการผลิตส่วนประกอบและผลิตภัณฑ์ต่าง ๆ จากยางธรรมชาติและยางสังเคราะห์ เช่น รองเท้าสิ่งของเครื่องใช้ภายในครัวเรือน วัสดุที่ใช้เป็นฉนวนชนิดต่าง ๆ อุปกรณ์เครื่องใช้ในอุตสาหกรรมยางล้อของรถจักรยาน รถยนต์ รถแทรกเตอร์ อากาศยานและยานยนต์ประเภทอื่น ๆ รวมถึงการปฏิบัติงานและควบคุมดูแลเครื่องจักรที่ใช้สร้างยางล้อรถจากแบบฟอร์ม ทำการหลอมเหลวและเทเบ้าหรือทำยางล้อรถขึ้นใหม่จากของที่ใช้แล้ว
8232,Plastic-products machine operators,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์พลาสติก,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรที่ใช้ในการนวดและผสมสารต่าง ๆ เพื่อทำการผลิตวัสดุพลาสติก รวมถึงการหล่อพลาสติก การขึ้นรูปและการเคลือบพลาสติก เพื่อทำการผลิตส่วนประกอบและสิ่งของเครื่องใช้พลาสติกต่าง ๆ
8240,Wood-products machine operators,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์ไม้,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของเครื่องจักรแปรรูปทำผลิตภัณฑ์ไม้ซึ่งมีการทำงานแบบอัตโนมัติ หรือแบบกึ่งอัตโนมัติในลักษณะที่ซ้ำ ๆ กัน โดยมีการปรับตั้งการทำงานของเครื่องจักรไว้ล่วงหน้า สำหรับการเลื่อย การขึ้นรูป คว้าน ไส กลึงหรือแกะสลักไม้
8251,Printing-machine operators,ผู้ปฏิบัติการเครื่องจักรการพิมพ์,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของแท่นพิมพ์ทุกชนิด ที่ทำการพิมพ์ลงบนแผ่นกระดาษ สิ่งทอสิ่งถักและวัสดุอื่น ๆ
8252,Book-binding-machine operators,ผู้ปฏิบัติการเครื่องจักรเข้าเล่มหนังสือ,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของเครื่องจักรที่เย็บรวมหนังสือให้เป็นรูปเล่มและปั๊มพิมพ์ภาพและอักษรนูนบนหนังสือ
8253,Paper-products machine operators,ผู้ปฏิบัติการเครื่องจักรผลิตผลิตภัณฑ์กระดาษ,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของเครื่องจักรที่ทำการผลิตกล่องกระดาษซองจดหมาย ถุงกระดาษและสินค้าอื่น ๆ ที่ทำมาจากกระดาษ รวมถึงการทำและตกแต่งกล่องกระดาษด้วยมือ การตั้งและการใช้เครื่องปิดกระดาษลงบนแผ่นกระดาษแข็งและตัดให้มีความยาวตามต้องการหรือตัดและรีดรอยพับ เพื่อทำกล่องกระดาษ การทากาวบนกระดาษเพื่อทำซองหรือถุง การทำถุงจากกระดาษแก้ว และปฏิบัติงานอื่น ๆ ที่เกี่ยวข้องกับการทำผลิตภัณฑ์จากกระดาษและกระดาษแข็ง
8261,"Fibre-preparing-, spinning- and winding-machine operators",ผู้ปฏิบัติการเครื่องจักรจัดเตรียมเส้นใย ปั่นและม้วนเส้นใย,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของเครื่องจักรที่ใช้ในการจัดเตรียมเส้นใยเพื่อการปั่น กรอ บิดเกลียวและขดเส้นใย รวมถึงการผสม การตี การทำความสะอาดและการทำเส้นใยให้อ่อนนุ่มการสาวและการหวีเส้นใยเพื่อทำให้เป็นแถบยาวคล้ายเส้นเชือก เปลี่ยนเส้นใยให้มีขนาดเล็กลงและเหนียวขึ้น ให้มีคุณภาพและน้ำหนักสม่ำเสมอ ทำการบิดเส้นด้ายจำนวนสองเส้นหรือมากกว่า ให้กลายเป็นเส้นด้ายที่หนักและแข็งแรง และทำการสาวม้วนเส้นด้าย
8262,Weaving- and knitting-machine operators,ผู้ปฏิบัติการเครื่องจักรทอผ้าและเครื่องจักรถักผ้า,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของเครื่องจักรและอุปกรณ์ที่ใช้สำหรับการทอหรือถักผ้าพื้น ผ้าที่มีลวดลาย ผ้าม่าน ผ้าลูกไม้ พรม เครื่องนุ่งห่ม ฯลฯ
8263,Sewing-machine operators,ผู้ปฏิบัติการเครื่องจักรเย็บเสื้อผ้า,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของจักรเย็บผ้าแบบมาตรฐานหรือจักรเย็บผ้าแบบพิเศษที่เป็นแบบเข็มเดี่ยวหรือมีมากกว่า 1 เข็ม เพื่อใช้ในการผลิตสิ่งทอ ขนสัตว์ หรือเครื่องนุ่งห่มประเภทเครื่องหนัง รวมถึงการปักลวดลายการออกแบบตกแต่งลงบนสิ่งทอหรือวัสดุอื่นๆ
8264,"Bleaching-, dyeing- and cleaning-machine operators",ผู้ปฏิบัติการเครื่องจักรฟอก ย้อมและทำความสะอาดสิ่งทอ,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการทำงานของเครื่องจักรที่ทำการฟอก ย้อม รีด ยืดเคลือบสีหรือเคลือบผ้าของสิ่งทอในรูปแบบต่าง ๆ การทำความสะอาดหรือซักแห้งผลิตภัณฑ์สิ่งทอขนสัตว์หรือเครื่องหนังด้วยเครื่องจักร เพื่อกำจัดสิ่งสกปรก สิ่งเจือปน สารเคมีที่เป็นส่วนเกิน หรือตะกอนยางธรรมชาติ หรือทำให้ผลิตภัณฑ์สิ่งทอมีสีสันเข้มขึ้นหรืออ่อนจางลง ควบคุมดูแลเครื่องจักรที่ใช้ในการอาบซึมสิ่งทอด้วยสารเคมีเพื่อให้เนื้อผ้ามีคุณสมบัติในการกันน้ำ เครื่องจักรที่ใช้ในการทำให้เนื้อผ้าหดตัวหรือทำให้มีความทนทาน รวมถึงเครื่องจักรที่ทำให้ผ้าไหมสามารถรักษารูปทรงและมีน้ำหนัก
